Outlet,String,Label,TagLabel,R.E.1,R.E.2,R.E.3,R.E.4,R.E.5,R.E.6,R.E.7,R.E.8,R.E.tag,R.E.tag.old
74722,"(4.1/SMI-4.1) 	id AA24096; Mon, 5 ",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74722,"(4.1/SMI-4.1) 	id AA11021; Mon, 5 ",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74722,inson@migration.com 415.813.7492 ,1,nnnnnnnnnnnnnnnnnnnnyyyyyyyyyyyyn,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyo,ooooooooooooooooooooooooooooyyyyo
74722,gration.com 415.813.7492 (daytime ,1,nnnnnnnnnnnnyyyyyyyyyyyynnnnnnnnnn,0,0,0,0,0,1,0,0,oooooooooooyyyyyyyyyyyyyoooooooooo,ooooooooooooooooooooyyyyoooooooooo
74723,sys.ibm.pc.hardware:58834 comp.sys,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74723,mp.sys.mac.hardware:50424 comp.sys,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74723,:21234 misc.forsale:74723 misc.for,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,oyyyyyooooooooooooooyyyyyooooooooo
74723,rsale.computers.mac:5263 misc.fors,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74723,.computers.pc-clone:7128 misc.fors,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74723,mputers.workstation:1539 Path: can,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74723, Subject: SCSI disk 660 Mb FORSAL,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74723,ications Company -- 408/973-9111 ,1,nnnnnnnnnnnnnnnnnnnnyyyyyyyyyyyyn,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyo,ooooooooooooooooooooooooooooyyyyo
74723,ions Company -- 408/973-9111 (voi,1,nnnnnnnnnnnnnnnnyyyyyyyyyyyynnnnn,0,0,0,0,0,1,0,0,oooooooooooooooyyyyyyyyyyyyyooooo,ooooooooooooooooooooooooyyyyooooo
74723, Company -- 408/973-9111 (voice) 4,1,nnnnnnnnnnnnyyyyyyyyyyyynnnnnnnnnn,0,0,0,0,0,1,0,0,oooooooooooyyyyyyyyyyyyyoooooooooo,ooooooooooooooooooooyyyyoooooooooo
74723,08/973-9111 (voice) 408/973-8091 ,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooyyyyyyyyyooooooooyyyyyyyyyyyyyo,oooooooyyyyoooooooooooooooooyyyyo
74723,73-9111 (voice) 408/973-8091 (dat,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooyyyyyyyyyyyyyooooo,oooyyyyoooooooooooooooooyyyyooooo
74723,111 (voice) 408/973-8091 (data) Li,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooyyyyyyyyyyyyyoooooooooo,ooooooooooooooooooooyyyyoooooooooo
74723,         I have the 660Mb SCSI-1 ,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,1,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooyyo
74723,and quiet for sale $650 plus     ,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74723,re's spec.: 	 Model 97548 made by ,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74723,"6.5 ms      average,150,000 hours",0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,1,0,ooooooooooooooooooooooooooooooooo,oyyoooooooooooooooooooooooooooooo
74723,"ms      average,150,000 hours MTB",0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74725,ssage-ID: <1993Apr5.231308.3558@um,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyooo,oooooooooooyyyyoooooyyyyyyoyyyyooo
74725,D: <1993Apr5.231308.3558@umr.edu> ,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooooooooooooyyyyyyyyyyyyoooooooooo,ooooyyyyoooooyyyyyyoyyyyoooooooooo
74725,T Article-I.D.: umr.1993Apr5.23130,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooyyyyy
74725,umr.1993Apr5.231308.3558 Sender: c,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooooooooooooyyyyyyyyyyyyoooooooooo,ooooyyyyoooooyyyyyyoyyyyoooooooooo
74725,tp-Posting-Host: mcs213c.cs.umr.e,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74725,inator: thouchin@mcs213c.cs.umr.e,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74725,E: 	Orchid Fareheit 1280 24bit col,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74725,eg  	-almost new 	 $200 or best o,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74725, him (Thuan Pho) at 314-368-3624 ,1,nnnnnnnnnnnnnnnnnnnnyyyyyyyyyyyyn,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyo,ooooooooooooooooooooooooooooyyyyo
74725, (Thuan Pho) at 314-368-3624  T.J,1,nnnnnnnnnnnnnnnnyyyyyyyyyyyynnnnn,0,0,0,0,0,1,0,0,oooooooooooooooyyyyyyyyyyyyyooooo,ooooooooooooooooooooooooyyyyooooo
74725,uan Pho) at 314-368-3624  T.J. Hou,1,nnnnnnnnnnnnyyyyyyyyyyyynnnnnnnnnn,0,0,0,0,0,1,0,0,oooooooooooyyyyyyyyyyyyyoooooooooo,ooooooooooooooooooooyyyyoooooooooo
74726,c.music.marketplace:4394 misc.fors,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74726,ed:30876 comp.music:12525 sci.elec,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooooooooooooooooooooooyyyyyyyyyyyy,oooyyyyyooooooooooooyyyyyooooooooo
74726,525 sci.electronics:52720 rec.musi,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,yyyyyyyyyyyyooooooooooyyyyyyyyyyyy,ooooooooooooooooooooyyyyyooooooooo
74726,.music.makers.synth:4315 Newsgroup,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooyyyyyyyyyyyoo,ooooooooooooooooooooyyyyoooooooooo
74726,anted: Message-ID: <1993Apr5.20150,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooyyyyy
74726,ssage-ID: <1993Apr5.201502.12462@n,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyoo,oooooooooooyyyyoooooyyyyyyoyyyyyoo
74726,D: <1993Apr5.201502.12462@news.arc,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooooooooooooyyyyyyyyyyyyyooooooooo,ooooyyyyoooooyyyyyyoyyyyyooooooooo
74726,Res. Ctr. Mtn Vw CA 94035 Referenc,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooooooooooooooooooooooyyyyyyyyyyyo,ooooooooooooooooooooyyyyyooooooooo
74726,94035 References:  <9304041842.AA2,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooyyyyyyyyyyyooooooyyyyyyyyyyyoooo,yyyyyoooooooooooooooyyyyyyyyyyoooo
74726,ces:  <9304041842.AA28793@photon.m,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooooooyyyyyyyyyyyoooooyyyyyyyyyyoo,oooooooyyyyyyyyyyoooyyyyyooooooooo
74726,"u> Date: Mon, 5 Apr 1993 20:15:02 ",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74726,ell.  Number> (213) 850-5216  I j,1,nnnnnnnnnnnnnnyyyyyyyyyyyyyynnnnn,0,0,0,0,0,1,0,0,ooooooooooooooyyyyyyyyyyyyyyooooo,ooooooooooooooooooooooooyyyyooooo
74729,.edu rec.radio.swap:5864 misc.fors,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74729,p:5864 misc.forsale:74729 pa.forsa,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooyyyyooooooooooooooyyyyyooooooooo
74729,le:74729 pa.forsale:2139 Path: can,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,oooyyyyyooooooooooooyyyyoooooooooo
74729,ipment Message-ID: <1993Apr5.16560,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooyyyyy
74729,ssage-ID: <1993Apr5.165604.4942@va,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyooo,oooooooooooyyyyoooooyyyyyyoyyyyooo
74729,D: <1993Apr5.165604.4942@vax.cns.m,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooooooooooooyyyyyyyyyyyyoooooooooo,ooooyyyyoooooyyyyyyoyyyyoooooooooo
74729,ngum College Lines: 112  Lots of ,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74729,acitor checkers  HP 200CD audio o,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74729, oscillator 5 hz to 600 Khz.     ,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74729, hz to 600 Khz.     1200 feet + br,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74729,ade for?    RCA tac 300 UHF dash ,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,1,oooooooooooooooooooyyyyyyyyyyyyyo,oooooooooooooooooooyyyyyyyyyyyyyo
74729,S     frequency 462.725 repeater ,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,1,0,oooooooooooooooyyyyyyyyyyyyyooooo,oooooooooooooooooooyyyyoooooooooo
74729,plex with     PL of 151.4 hz     ,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,1,0,ooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooyyoooooooo
74729," tone remote model #1926A, works g",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74729, remote! model #TRN-6744A w/schmet,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74729,etics     Both for $100.    Motor,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74729, adaptor model #TLN-1127apr      $,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74729,im Sims sr. N4JDP  (614) 439-2177,1,nnnnnnnnnnnnnnnnnnnyyyyyyyyyyyyyy,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyy,oooooooooooooooooooooooooooooyyyy
74729,ms sr. N4JDP  (614) 439-2177 befo,1,nnnnnnnnnnnnnnyyyyyyyyyyyyyynnnnn,0,0,0,0,0,1,0,0,ooooooooooooooyyyyyyyyyyyyyyooooo,ooooooooooooooooooooooooyyyyooooo
74729,r. N4JDP  (614) 439-2177 before 9 ,1,nnnnnnnnnnyyyyyyyyyyyyyynnnnnnnnnn,0,0,0,0,0,1,0,0,ooooooooooyyyyyyyyyyyyyyoooooooooo,ooooooooooooooooooooyyyyoooooooooo
74738,nications Services (408-241-9760 ,1,nnnnnnnnnnnnnnnnnnnnyyyyyyyyyyyyn,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyo,ooooooooooooooooooooooooooooyyyyo
74738,tions Services (408-241-9760 logi,1,nnnnnnnnnnnnnnnnyyyyyyyyyyyynnnnn,0,0,0,0,0,1,0,0,oooooooooooooooyyyyyyyyyyyyyooooo,ooooooooooooooooooooooooyyyyooooo
74739,icycles.marketplace:3671 misc.fors,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74739,r sale Message-ID: <10377@pyrdc.UU,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74739,ave Scott Centurion 1989 model siz,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74739,"ar tire 		24"" front/700c rear set",0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,1,0,ooooooooooooooooooooooooooooooooo,oooooooooooooooooooyyyyoooooooooo
74739,wife is asking for $350 obo. Let ,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74739, -------=======---  1921 Gallows R,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooyyyyyyyyyyyoo,ooooooooooooooooooooyyyyoooooooooo
74739,"Gallows Road, Suite 250          ",0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooo
74739,"======-  Vienna, VA 22182  	Phone:",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74739, VA 22182  	Phone: (703) 848-2050,1,nnnnnnnnnnnnnnnnnnnyyyyyyyyyyyyyy,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyy,ooooyyyyyooooooooooooooooooooyyyy
74739,2182  	Phone: (703) 848-2050	Page,1,nnnnnnnnnnnnnnyyyyyyyyyyyyyynnnnn,0,0,0,0,0,1,0,0,ooooooooooooooyyyyyyyyyyyyyyooooo,yyyyooooooooooooooooooooyyyyooooo
74739,  	Phone: (703) 848-2050	Pager: (8,1,nnnnnnnnnnyyyyyyyyyyyyyynnnnnnnnnn,0,0,0,0,0,1,0,0,ooooooooooyyyyyyyyyyyyyyoooooooooo,ooooooooooooooooooooyyyyoooooooooo
74739,3) 848-2050	Pager: (800)sky-page ,0,ooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyo,oooooooyyyyoooooooooooooooooooooo
74739, (800)sky-page pin# 45300 	    mik,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oyyyyyyyyyyyyyoooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74742,"r, MI] Message-ID: <1993Apr4.23553",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooyyyyy
74742,ssage-ID: <1993Apr4.235535.21927@g,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyoo,oooooooooooyyyyoooooyyyyyyoyyyyyoo
74742,D: <1993Apr4.235535.21927@ganglion,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,ooooooooooooyyyyyyyyyyyyyooooooooo,ooooyyyyoooooyyyyyyoyyyyyooooooooo
74742,"st of: February 27, 1993 =========",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74742,Corvettes --------- 1984-1986 Y Ca,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoyyyyooooo
74742,ttes --------- 1984-1986 Y Car Par,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,oooooooooooooooyyyyoyyyyoooooooooo
74742,wner Guide For 1953-1988 Models [A,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooyyyyyyyyyyooo,oooooooooooooooyyyyoyyyyoooooooooo
74742,timicrobial Therapy 1991 [Sanford],0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooyyyyyyyyyyyyo,ooooooooooooooooooooyyyyoooooooooo
74742,ical School [Brown] 1981 .........,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74742,Acceptance [Graham] 1981 .........,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74742,"ccounting, 9th Ed., 1972 [Carson] ",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooyyyyyyyyyyyoo,ooooooooooooooooooooyyyyoooooooooo
74742,igan Medical School 1050 Wall Stre,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74742,         Telephone: 313/663-5557 ,1,nnnnnnnnnnnnnnnnnnnnyyyyyyyyyyyyn,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyo,ooooooooooooooooooooooooooooyyyyo
74742,"Ann Arbor, Michigan 48105    //   ",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74744,rddrive Date: 5 Apr 1993 21:28:56 ,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74744,ng   Greg Holdren  (916)785-7481 ,1,nnnnnnnnnnnnnnnnnnnyyyyyyyyyyyyyn,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyo,oooooooooooooooooooyyyyyyyyoyyyyo
74744, Greg Holdren  (916)785-7481 greg,1,nnnnnnnnnnnnnnnyyyyyyyyyyyyynnnnn,0,0,0,0,0,1,0,0,oooooooooooooooyyyyyyyyyyyyyooooo,oooooooooooooooyyyyyyyyoyyyyooooo
74744,g Holdren  (916)785-7481 gregh@hpr,1,nnnnnnnnnnnyyyyyyyyyyyyynnnnnnnnnn,0,0,0,0,0,1,0,0,oooooooooooyyyyyyyyyyyyyoooooooooo,oooooooooooyyyyyyyyoyyyyoooooooooo
74747,du comp.sys.laptops:9806 comp.sys.,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74747,sys.ibm.pc.hardware:58876 misc.for,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyyooooooooo
74747,:58876 misc.forsale:74747 misc.for,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,oyyyyyooooooooooooooyyyyyooooooooo
74747,"Subject: Need Sharp 6220, T2000 pa",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooyyyyooo
74747,": Need Sharp 6220, T2000 parts, in",0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,oooooooooooooyyyyoooyyyyoooooooooo
74747,mation Message-ID: <3890@ncr-mpd.F,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooyyyyyyyyyyyoo,ooooooooooooooooooooyyyyoooooooooo
74747,looking for a Sharp 6220 or TI Tra,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooooooo
74747,20 or TI Travelmate 2000 for parts,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooyyyyyyyyyyyyo,ooooooooooooooooooooyyyyoooooooooo
74747,                  1-303-223-5100 ,0,ooooooooooooooooooooooooooooooooo,1,0,0,0,0,0,0,0,ooooooooooooooooooyyyyyyyyyyyyyyo,ooooooooooooooooooyyyyyyyyyyyyyyo
74747,              1-303-223-5100 x926,0,ooooooooooooooooooooooooooooooooo,1,0,0,0,0,0,0,0,ooooooooooooooyyyyyyyyyyyyyyooooo,ooooooooooooooyyyyyyyyyyyyyyooooo
74747,          1-303-223-5100 x9267 NCR,1,nnnnnnnnnnyyyyyyyyyyyyyyyyyyyynnnn,1,0,0,0,0,0,0,0,ooooooooooyyyyyyyyyyyyyyoooooooooo,ooooooooooyyyyyyyyyyyyyyoooooooooo
74749,(SNES) Message-ID: <1993Apr5.19554,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooooooooooooooooo,ooooooooooooooooooooyyyyoooooyyyyy
74749,ssage-ID: <1993Apr5.195548.18163@n,0,oooooooooooooooooooooooooooooooooo,0,0,0,0,0,1,0,0,oooooooooooooooooooyyyyyyyyyyyyyoo,oooooooooooyyyyoooooyyyyyyoyyyyyoo
